ec,lec,total_voters,total_ballots,local_ballots,distant_ballots,unused_ballots,in_mobile_boxes,in_stationary_boxes,spoiled_ballots,valid_ballots,lost_ballots,unaccounted_ballots,amosov,beglov,tikhonova,amosov_share,beglov_share,tikhonova_share,turnout(%)
tec1,1,1803,1200,587,11,602,11,587,23,575,0,0,110,345,120,18.394648829431436,57.692307692307686,20.066889632107024,33.1669439822518
tec1,2,1466,1100,433,14,653,14,430,19,425,0,0,53,326,46,11.936936936936938,73.42342342342343,10.36036036036036,30.49113233287858
tec1,3,2092,1600,576,22,1002,22,576,15,583,0,0,155,332,96,25.91973244147157,55.51839464882943,16.05351170568562,28.58508604206501
tec1,4,1056,1000,318,4,678,4,318,13,309,0,0,67,171,71,20.80745341614907,53.105590062111794,22.049689440993788,30.492424242424242
tec1,5,1827,1400,495,8,897,8,493,16,485,0,0,137,266,82,27.345309381237527,53.093812375249506,16.367265469061877,27.53147235905857
tec1,6,1557,1200,453,13,734,13,453,12,454,0,0,118,263,73,25.321888412017167,56.437768240343345,15.665236051502147,29.929351316634556
tec1,7,2095,1600,532,17,1051,17,532,13,536,0,0,131,305,100,23.861566484517304,55.55555555555556,18.21493624772313,26.205250596658715
tec1,8,1523,1100,590,13,497,13,590,19,584,0,0,127,364,93,21.06135986733002,60.3648424543947,15.422885572139302,39.59290873276428
tec1,9,1463,1300,473,26,801,26,473,17,482,0,0,128,253,101,25.651302605210418,50.70140280561122,20.240480961923847,34.107997265892
tec1,10,1629,1200,486,7,707,7,486,14,479,0,0,118,267,94,23.935091277890468,54.15821501014199,19.066937119675455,30.263965623081646
tec1,11,1916,1500,521,15,964,14,521,21,514,0,0,96,329,89,17.94392523364486,61.49532710280374,16.635514018691588,27.97494780793319
tec1,12,2570,1900,704,9,1187,9,700,30,679,0,0,158,376,145,22.28490832157969,53.032440056417485,20.451339915373765,27.7431906614786
tec1,13,325,350,60,264,26,264,60,2,322,0,0,6,295,21,1.8518518518518516,91.0493827160494,6.481481481481481,99.6923076923077
tec1,14,2457,2000,612,8,1380,8,612,19,601,0,0,85,435,81,13.709677419354838,70.16129032258065,13.064516129032258,25.234025234025232
tec1,15,1765,1600,477,179,944,179,477,33,623,0,0,111,403,109,16.920731707317074,61.4329268292683,16.615853658536587,37.1671388101983
tec1,16,1849,1500,616,17,867,17,616,26,607,0,0,127,357,123,20.063191153238545,56.39810426540285,19.431279620853083,34.23472147106544
tec1,17,1701,1300,458,22,820,22,458,18,462,0,0,101,288,73,21.041666666666668,60.0,15.208333333333332,28.21869488536155
tec1,18,1539,1300,410,27,863,27,410,23,414,0,0,91,250,73,20.823798627002287,57.20823798627003,16.704805491990847,28.39506172839506
tec1,19,1614,1500,556,11,933,11,555,21,545,0,0,137,311,97,24.204946996466433,54.946996466431095,17.137809187279153,35.130111524163574
tec1,20,1568,1200,394,13,793,13,394,12,395,0,0,79,236,80,19.41031941031941,57.98525798525799,19.656019656019655,25.956632653061224
tec1,21,1736,1300,522,17,761,17,522,21,518,0,0,138,283,97,25.60296846011132,52.50463821892394,17.996289424860855,31.048387096774192
tec1,22,1630,1200,517,36,647,36,517,23,530,0,0,101,334,95,18.264014466546115,60.397830018083184,17.17902350813743,33.92638036809816
tec1,23,1344,1300,565,15,720,15,545,24,536,0,0,101,332,103,18.035714285714285,59.285714285714285,18.392857142857146,43.154761904761905
tec1,24,1750,1300,433,8,859,8,428,9,427,0,0,103,238,86,23.623853211009173,54.58715596330275,19.724770642201836,25.2
tec1,25,1930,1600,617,12,971,12,591,13,590,0,0,114,382,94,18.90547263681592,63.349917081260365,15.58872305140962,32.590673575129536
tec1,26,1005,1000,327,7,666,7,327,15,319,0,0,66,199,54,19.760479041916167,59.58083832335329,16.16766467065868,33.233830845771145
tec1,27,1059,1200,415,9,776,9,415,13,411,0,0,91,254,66,21.462264150943398,59.905660377358494,15.566037735849056,40.03777148253069
tec1,28,1106,1000,385,143,472,143,372,18,497,0,0,92,325,80,17.864077669902912,63.10679611650486,15.53398058252427,47.739602169981914
tec1,29,1609,1200,406,19,775,19,406,13,412,0,0,120,219,73,28.235294117647058,51.52941176470588,17.176470588235293,26.413921690490987
tec1,30,1381,1100,449,15,636,15,422,10,427,0,0,64,309,54,14.645308924485127,70.70938215102976,12.356979405034325,33.598841419261404
tec1,31,2357,1600,1274,9,317,9,1242,68,1183,0,0,216,618,349,17.26618705035971,49.40047961630695,27.89768185451639,54.43360203648706
tec1,32,1915,1700,709,9,982,9,684,31,662,0,0,162,383,117,23.376623376623375,55.266955266955264,16.883116883116884,37.4934725848564
tec1,33,2438,2100,574,8,1518,8,573,27,554,0,0,72,418,64,12.392426850258175,71.9449225473322,11.015490533562824,23.87202625102543
tec1,34,1799,1700,558,85,1057,84,558,24,618,0,0,124,386,108,19.314641744548286,60.12461059190031,16.822429906542055,35.74207893274041
tec1,35,1229,1000,425,8,567,8,425,13,420,0,0,61,312,47,14.087759815242496,72.05542725173211,10.854503464203233,35.231895850284786
tec1,36,1605,1300,454,29,817,29,447,19,457,0,0,66,301,90,13.865546218487395,63.23529411764706,18.907563025210084,30.093457943925234
tec1,37,1079,1000,377,8,615,8,377,40,345,0,0,23,310,12,5.974025974025974,80.51948051948052,3.116883116883117,35.68118628359592
tec1,38,1793,1300,471,11,818,11,471,16,466,0,0,89,280,97,18.464730290456433,58.09128630705395,20.12448132780083,26.882320133853877
tec1,39,1953,1500,447,31,1022,31,447,16,462,0,0,110,275,77,23.01255230125523,57.53138075313807,16.10878661087866,24.47516641065028
tec1,40,1990,1500,548,12,940,12,548,16,544,0,0,139,314,91,24.821428571428573,56.07142857142857,16.25,28.14070351758794
tec1,41,1062,1000,334,2,664,2,334,8,328,0,0,50,221,57,14.880952380952381,65.77380952380952,16.964285714285715,31.63841807909605
tec1,42,1818,1300,552,16,732,16,551,12,555,0,0,119,313,123,20.98765432098765,55.20282186948854,21.693121693121693,31.24312431243124
tec1,43,2645,1600,1325,34,241,34,1325,88,1271,0,0,249,696,326,18.322295805739515,51.21412803532009,23.98822663723326,51.37996219281663
tec1,44,1118,1000,356,8,636,8,355,16,347,0,0,69,204,74,19.00826446280992,56.19834710743802,20.385674931129476,32.55813953488372
tec1,45,1898,1400,551,9,840,9,551,17,543,0,0,124,323,96,22.142857142857142,57.67857142857142,17.142857142857142,29.50474183350896
tec1,46,1746,1300,507,6,787,6,507,17,496,0,0,87,314,95,16.95906432748538,61.20857699805068,18.51851851851852,29.381443298969074
tec1,47,2353,1800,607,13,1180,13,596,22,587,0,0,137,345,105,22.495894909688012,56.65024630541872,17.24137931034483,26.34934126646834
tec1,48,1204,1000,447,4,549,4,446,8,442,0,0,72,287,83,16.0,63.77777777777778,18.444444444444443,37.45847176079734
tec1,49,2279,1700,654,13,1033,13,653,45,621,0,0,162,337,122,24.324324324324326,50.6006006006006,18.31831831831832,29.267222465993857
tec1,50,2248,1700,513,13,1174,13,512,15,510,0,0,56,401,53,10.666666666666668,76.38095238095238,10.095238095238095,23.398576512455517
tec1,51,1612,1300,395,9,896,9,395,14,390,0,0,52,257,81,12.871287128712872,63.613861386138616,20.049504950495052,25.06203473945409
tec1,52,2991,2100,738,10,1352,10,738,25,723,0,0,76,469,178,10.16042780748663,62.700534759358284,23.796791443850267,25.008358408559012
tec1,53,2010,1500,584,16,900,16,583,24,575,0,0,118,373,84,19.69949916527546,62.270450751252085,14.023372287145241,29.850746268656714
tec1,54,2160,1600,556,16,1028,16,553,15,554,0,0,94,345,115,16.520210896309315,60.632688927943754,20.210896309314588,26.481481481481485
tec1,55,1476,1100,582,58,460,58,582,23,617,0,0,96,415,106,15.0,64.84375,16.5625,43.360433604336045
tec1,56,2217,1700,496,51,1153,51,496,20,527,0,0,99,328,100,18.09872029250457,59.96343692870201,18.281535648994517,24.67298150654037
tec1,57,2084,1500,604,2,894,2,604,11,595,0,0,134,333,128,22.112211221122113,54.95049504950495,21.122112211221122,29.078694817658352
tec1,58,284,300,210,73,17,73,210,3,280,0,0,4,258,18,1.4134275618374559,91.16607773851591,6.36042402826855,99.64788732394366
tec1,59,1912,1500,445,9,1046,9,444,11,442,0,0,79,291,72,17.439293598233995,64.23841059602648,15.894039735099339,23.744769874476987
tec1,60,2167,1700,573,26,1101,26,571,24,573,0,0,81,423,69,13.5678391959799,70.85427135678391,11.557788944723619,27.64190124596216
tec1,61,1703,1400,373,13,1014,13,373,7,379,0,0,61,241,77,15.803108808290157,62.43523316062176,19.94818652849741,22.665883734586025
tec2,104,1645,1500,465,17,1018,17,464,14,467,0,0,98,266,103,20.374220374220375,55.301455301455306,21.413721413721415,29.300911854103344
tec2,105,2097,1500,1012,8,480,8,1011,43,976,0,0,147,663,166,14.425907752698725,65.06378802747793,16.290480863591757,48.640915593705294
tec2,106,1531,1500,392,8,1100,8,392,13,387,0,0,122,198,67,30.5,49.5,16.75,26.126714565643372
tec2,107,1359,1500,381,7,1112,7,381,18,370,0,0,102,200,68,26.288659793814436,51.546391752577314,17.525773195876287,28.550404709345106
tec2,108,1575,1500,405,10,1085,10,405,10,405,0,0,113,207,85,27.228915662650603,49.87951807228916,20.481927710843372,26.34920634920635
tec2,109,1607,1500,471,6,1023,6,470,21,455,0,0,126,226,103,26.47058823529412,47.47899159663865,21.638655462184875,29.682638456751707
tec2,110,1544,1500,319,10,1171,10,318,15,313,0,0,76,176,61,23.170731707317074,53.65853658536586,18.597560975609756,21.308290155440414
tec2,111,1614,1500,342,11,1147,11,342,11,342,0,0,78,189,75,22.096317280453256,53.54107648725213,21.246458923512748,21.871127633209415
tec2,112,1739,1500,523,5,972,5,523,6,522,0,0,146,283,93,27.65151515151515,53.59848484848485,17.613636363636363,30.36227717078781
tec2,113,1678,1500,470,13,1017,13,469,10,472,0,0,105,283,84,21.78423236514523,58.713692946058096,17.42738589211618,28.784266984505365
tec2,114,1973,2000,948,35,1017,35,942,57,920,0,0,210,483,227,21.494370522006143,49.437052200614126,23.23439099283521,49.8226051697922
tec2,115,2232,2000,663,14,1323,14,649,27,636,0,0,129,376,131,19.457013574660635,56.711915535444945,19.75867269984917,30.33154121863799
tec2,116,2431,2000,558,11,1431,11,558,17,552,0,0,123,318,111,21.616871704745165,55.88752196836555,19.507908611599298,23.406005758946936
tec2,117,1808,1500,439,14,1047,14,438,12,440,0,0,109,244,87,24.11504424778761,53.98230088495575,19.24778761061947,25.055309734513276
tec2,118,1827,1500,429,6,1065,6,424,11,419,0,0,113,222,84,26.27906976744186,51.627906976744185,19.53488372093023,23.809523809523807
tec2,119,2096,1500,603,55,842,55,597,18,634,0,0,158,336,140,24.233128834355828,51.533742331288344,21.472392638036812,31.393129770992367
tec2,120,1781,1500,438,8,1054,8,438,8,438,0,0,127,226,85,28.475336322869953,50.672645739910315,19.05829596412556,25.042111173498032
tec2,121,1653,1500,512,34,954,34,512,13,533,0,0,123,316,94,22.52747252747253,57.87545787545788,17.216117216117215,33.03085299455535
tec2,122,1475,1500,452,6,1042,6,450,13,443,0,0,93,260,90,20.394736842105264,57.01754385964912,19.736842105263158,31.050847457627118
tec2,123,1695,1500,398,10,1092,10,396,12,394,0,0,99,206,89,24.38423645320197,50.73891625615764,21.921182266009854,24.07079646017699
tec2,124,1901,1500,494,3,1003,3,494,10,487,0,0,137,260,90,27.565392354124747,52.31388329979879,18.10865191146881,26.14413466596528
tec2,125,1655,1500,392,5,1103,4,392,14,382,0,0,113,210,59,28.535353535353536,53.03030303030303,14.898989898989898,23.987915407854985
tec2,126,1453,1500,459,5,1036,5,457,22,440,0,0,75,266,99,16.233766233766232,57.57575757575758,21.428571428571427,31.93392980041294
tec2,127,1679,1500,526,7,967,7,525,15,517,0,0,126,291,100,23.684210526315788,54.699248120300744,18.796992481203006,31.745086360929125
tec2,128,2190,2000,560,6,1434,6,560,15,551,0,0,158,278,115,27.915194346289752,49.11660777385159,20.318021201413426,25.844748858447485
tec2,129,1678,1500,407,7,1086,7,407,14,400,0,0,82,245,73,19.806763285024154,59.17874396135265,17.632850241545896,24.672228843861742
tec2,130,2069,2000,455,6,1539,6,455,12,449,0,0,107,237,105,23.210412147505423,51.40997830802603,22.7765726681128,22.281295311744802
tec2,131,1242,1000,375,0,625,0,375,11,364,0,0,112,154,98,29.86666666666667,41.06666666666667,26.13333333333333,30.193236714975846
tec2,132,2115,2000,683,10,1307,10,682,19,673,0,0,166,372,135,23.98843930635838,53.75722543352601,19.508670520231213,32.76595744680851
tec2,133,2118,2000,632,10,1358,10,632,16,626,0,0,123,372,131,19.158878504672895,57.943925233644855,20.404984423676012,30.31161473087819
tec2,134,1954,2500,845,2,1653,2,845,34,813,0,0,141,446,226,16.646989374262102,52.6564344746163,26.68240850059032,43.34698055271238
tec2,135,2132,2000,624,6,1370,6,624,21,609,0,0,155,312,142,24.6031746031746,49.523809523809526,22.53968253968254,29.54971857410882
tec2,136,1758,1500,605,18,877,18,581,18,581,0,0,137,326,118,22.871452420701168,54.42404006677797,19.69949916527546,35.43799772468714
tec2,137,1186,1000,586,7,407,7,586,18,575,0,0,115,351,109,19.392917369308602,59.190556492411474,18.381112984822934,50.0
tec2,138,1793,1500,495,6,999,6,494,15,485,0,0,107,272,106,21.4,54.400000000000006,21.2,27.941996653653096
tec2,139,1667,1500,557,38,905,38,555,14,579,0,0,117,356,106,19.73018549747049,60.03372681281619,17.875210792580102,35.692861427714455
tec2,140,1655,1500,490,12,998,12,489,13,488,0,0,128,275,85,25.54890219560878,54.890219560878236,16.966067864271455,30.332326283987914
tec2,141,1859,1500,502,5,993,5,500,12,493,0,0,97,283,113,19.207920792079207,56.03960396039604,22.37623762376238,27.27272727272727
tec2,142,1785,1500,527,40,933,40,522,19,543,0,0,107,329,107,19.03914590747331,58.54092526690391,19.03914590747331,31.76470588235294
tec2,143,1240,1000,350,4,646,4,346,12,338,0,0,72,198,68,20.57142857142857,56.57142857142857,19.428571428571427,28.548387096774192
tec2,144,1661,1500,484,7,1009,7,484,12,479,0,0,108,277,94,21.9959266802444,56.41547861507128,19.144602851323828,29.560505719446116
tec2,145,2166,2000,578,7,1415,7,578,23,562,0,0,124,305,133,21.196581196581196,52.13675213675214,22.735042735042736,27.008310249307478
tec2,146,1488,1500,301,2,1197,2,300,4,298,0,0,56,177,65,18.543046357615893,58.609271523178805,21.52317880794702,20.362903225806452
tec2,147,1955,2000,510,12,1478,12,509,9,512,0,0,106,312,94,20.34548944337812,59.88483685220729,18.042226487523994,26.70076726342711
tec2,148,2515,2000,733,22,1245,22,726,13,735,0,0,183,384,168,24.46524064171123,51.33689839572193,22.459893048128343,30.019880715705767
tec2,149,1825,1500,577,18,905,18,572,9,581,0,0,131,325,125,22.203389830508474,55.08474576271186,21.1864406779661,32.602739726027394
tec2,150,1590,1500,599,18,883,18,598,15,601,0,0,154,332,115,25.0,53.896103896103895,18.66883116883117,38.80503144654088
tec2,151,2043,2000,641,9,1350,9,640,23,626,0,0,145,354,127,22.342064714946073,54.54545454545454,19.568567026194145,31.815956926089083
tec2,152,1944,2000,600,10,1390,10,598,28,580,0,0,151,314,115,24.835526315789476,51.64473684210527,18.914473684210524,31.378600823045268
tec2,153,2177,2000,694,16,1290,16,685,18,683,0,0,148,401,134,21.112696148359486,57.203994293865904,19.115549215406563,32.61368856224161
tec2,154,1805,1500,611,6,883,6,610,28,588,0,0,116,361,111,18.83116883116883,58.603896103896105,18.019480519480517,34.18282548476454
tec2,155,1103,1000,377,4,619,4,377,8,373,0,0,73,219,81,19.160104986876643,57.48031496062992,21.25984251968504,34.542157751586586
tec2,156,2267,2000,685,5,1310,5,685,26,664,0,0,115,422,127,16.666666666666664,61.15942028985507,18.405797101449277,30.43670048522276
tec2,157,1465,1500,464,16,1020,16,464,15,465,0,0,106,282,77,22.083333333333332,58.75,16.041666666666668,32.76450511945392
tec2,158,674,500,241,1,258,1,241,4,238,0,0,53,152,33,21.90082644628099,62.8099173553719,13.636363636363635,35.90504451038576
tec2,159,1520,1500,488,6,1006,6,481,12,475,0,0,99,280,96,20.32854209445585,57.49486652977412,19.71252566735113,32.5
tec2,160,1706,1500,538,11,951,11,538,15,534,0,0,117,332,85,21.311475409836063,60.4735883424408,15.482695810564662,32.18053927315358
tec2,161,1735,1500,506,13,981,13,506,12,507,0,0,106,293,108,20.423892100192678,56.45472061657033,20.809248554913296,29.913544668587893
tec2,162,1528,1500,502,3,995,3,502,13,492,0,0,126,272,94,24.95049504950495,53.86138613861387,18.613861386138613,33.04973821989529
tec2,163,1284,1000,318,12,670,12,318,14,316,0,0,64,188,64,19.393939393939394,56.96969696969697,19.393939393939394,25.70093457943925
tec2,164,1827,1500,643,10,847,10,633,25,618,0,0,120,393,105,18.662519440124417,61.11975116640747,16.329704510108865,35.741652983032296
tec2,165,1831,1500,579,13,908,13,573,17,569,0,0,122,345,102,20.819112627986346,58.87372013651877,17.4061433447099,32.33205898416166
